COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,INDICE,ipm,saber_punt_global_mean
13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,"0,99",0.26594403345127055,268.0
47,MAGDALENA,47703,SAN ZENÓN,"0,05",0.2781801670904468,264.0
08,ATLÁNTICO,08558,POLONUEVO,"0,20",0.2301888,185.5
19,CAUCA,19364,JAMBALÓ,"0,27",0.22989817415730338,241.85714285714286
70,SUCRE,70670,SAMPUÉS,"3,73",0.2775482487491065,269.6363636363636
23,CÓRDOBA,23660,SAHAGÚN,"5,77",0.2646156546156546,237.44897959183675
73,TOLIMA,73236,DOLORES,"2,44",0.23386718750000002,260.125
76,VALLE DEL CAUCA,76563,PRADERA,"7,97",0.19479325699745548,253.75675675675674
19,CAUCA,19780,SUÁREZ,"0,09",0.22989817415730338,300.5
68,SANTANDER,68255,EL PLAYÓN,"2,20",0.20767434317223482,216.0
05,ANTIOQUIA,05837,TURBO,"8,44",0.2120180810731992,223.45238095238096
05,ANTIOQUIA,05847,URRAO,"5,23",0.2120180810731992,216.55555555555554
73,TOLIMA,73624,ROVIRA,"1,67",0.23386718750000002,262.5
54,NORTE DE SANTANDER,54398,LA PLAYA,"3,69",0.26416399286987524,262.75
20,CESAR,20710,SAN ALBERTO,"3,88",0.261579879560751,296.94444444444446
63,QUINDÍO,63001,ARMENIA,"24,60",0.20098887515451175,284.89935760171306
50,META,50689,SAN MARTÍN,"6,59",0.21401589825119238,253.70833333333334
47,MAGDALENA,47660,SABANAS DE SAN ANGEL,"1,53",0.2781801670904468,246.6
50,META,50330,MESETAS,"1,93",0.21401589825119238,249.4
25,CUNDINAMARCA,25843,VILLA DE SAN DIEGO DE UBATE,"6,72",0.19428256765261168,269.3333333333333
66,RISARALDA,66440,MARSELLA,"3,21",0.19642344870595574,270.0
76,VALLE DEL CAUCA,76400,LA UNIÓN,"8,14",0.19479325699745548,277.1818181818182
54,NORTE DE SANTANDER,54223,CUCUTILLA,"0,99",0.26416399286987524,345.0
05,ANTIOQUIA,05887,YARUMAL,"10,83",0.2120180810731992,238.71428571428572
68,SANTANDER,68344,HATO,"1,50",0.20767434317223482,291.0
27,CHOCÓ,27660,SAN JOSÉ DEL PALMAR,"1,04",0.3020449521002211,176.0
19,CAUCA,19397,LA VEGA,"0,19",0.22989817415730338,286.6666666666667
73,TOLIMA,73483,NATAGAIMA,"4,31",0.23386718750000002,249.4
05,ANTIOQUIA,05154,CAUCASIA,"11,64",0.2120180810731992,235.29577464788733
25,CUNDINAMARCA,25335,GUAYABETAL,"3,26",0.19428256765261168,243.33333333333334
19,CAUCA,19300,GUACHENÉ,"0,03",0.22989817415730338,227.41666666666666
23,CÓRDOBA,23855,VALENCIA,"2,38",0.2646156546156546,243.33333333333334
15,BOYACÁ,15244,EL COCUY,"3,51",0.21142715559960357,254.0
70,SUCRE,70523,PALMITO,"0,24",0.2775482487491065,247.66666666666666
15,BOYACÁ,15104,BOYACÁ,"1,40",0.21142715559960357,275.1111111111111
76,VALLE DEL CAUCA,76828,TRUJILLO,"4,29",0.19479325699745548,251.0
27,CHOCÓ,27413,LLORÓ,"0,36",0.3020449521002211,164.0
73,TOLIMA,73352,ICONONZO,"3,06",0.23386718750000002,222.0
17,CALDAS,17495,NORCASIA,"4,82",0.20705396825396827,265.25
54,NORTE DE SANTANDER,54001,SAN JOSÉ DE CÚCUTA,"13,90",0.26416399286987524,258.7784503631961
52,NARIÑO,52585,PUPIALES,"2,18",0.254,280.48387096774195
41,HUILA,41668,SAN AGUSTÍN,"2,51",0.22292018170019468,307.0
47,MAGDALENA,47205,CONCORDIA,"0,10",0.2781801670904468,216.25
73,TOLIMA,73675,SAN ANTONIO,"2,63",0.23386718750000002,325.0
20,CESAR,20238,EL COPEY,"0,09",0.261579879560751,237.71428571428572
05,ANTIOQUIA,05664,SAN PEDRO DE LOS MILAGROS,"12,83",0.2120180810731992,228.4
18,CAQUETA,18205,CURILLO,"0,17",0.24688277668631303,233.11111111111111
52,NARIÑO,52687,SAN LORENZO,"0,51",0.254,306.52941176470586
70,SUCRE,70742,SAN LUIS DE SINCÉ,"2,22",0.2775482487491065,242.83333333333334
05,ANTIOQUIA,05483,NARIÑO,"2,87",0.2120180810731992,252.0
05,ANTIOQUIA,05761,SOPETRÁN,"8,30",0.2120180810731992,294.0
18,CAQUETA,18256,EL PAUJIL,"1,51",0.24688277668631303,216.3913043478261
25,CUNDINAMARCA,25718,SASAIMA,"3,05",0.19428256765261168,250.0
08,ATLÁNTICO,08685,SANTO TOMÁS,"6,39",0.2301888,234.73333333333332
41,HUILA,41016,AIPE,"2,51",0.22292018170019468,295.4166666666667
23,CÓRDOBA,23807,TIERRALTA,"3,31",0.2646156546156546,227.44444444444446
68,SANTANDER,68575,PUERTO WILCHES,"4,92",0.20767434317223482,204.68
08,ATLÁNTICO,08549,PIOJÓ,"0,21",0.2301888,177.0
52,NARIÑO,52418,LOS ANDES,"0,19",0.254,289.19607843137254
86,PUTUMAYO,86760,SANTIAGO,"2,11",0.23961087866108785,268.47058823529414
13,BOLÍVAR,13468,SANTA CRUZ DE MOMPOX,"3,00",0.26594403345127055,243.44444444444446
47,MAGDALENA,47189,CIÉNAGA,"5,16",0.2781801670904468,210.0
15,BOYACÁ,15599,RAMIRIQUÍ,"4,69",0.21142715559960357,279.75
19,CAUCA,19845,VILLA RICA,"0,39",0.22989817415730338,248.85
25,CUNDINAMARCA,25295,GACHANCIPÁ,"4,61",0.19428256765261168,243.0
15,BOYACÁ,15466,MONGUÍ,"3,92",0.21142715559960357,277.0
52,NARIÑO,52405,LEIVA,"0,43",0.254,293.14285714285717
